chr	sp	fish	MinCov	MaxCov	AverCov	SDCov
LR778270.1	C.acrinasus	THU143	6	646.924	47.3357462358547	49.4831315306776
LR778271.1	C.acrinasus	THU143	6	1017.22	44.9683848472505	47.3505048352699
LR778272.1	C.acrinasus	THU143	6	232.639	46.0458075769231	42.4226640456788
LR778273.1	C.acrinasus	THU143	6	220.552	45.4466535652174	43.2617667547447
LR778274.1	C.acrinasus	THU143	6	653.792	62.7349769109663	76.8450737886855
LR778275.1	C.acrinasus	THU143	6	488.512	45.7701308328267	44.8353459840112
LR778276.1	C.acrinasus	THU143	6	261.549	44.7449860049938	41.8349209235026
LR778277.1	C.acrinasus	THU143	6	397.955	46.3483945460358	44.9135232393132
LR778278.1	C.acrinasus	THU143	6	487.54	45.7901108101266	43.5493978242689
LR778279.1	C.acrinasus	THU143	6	218.764	44.2110851105496	42.7605457558557
LR778280.1	C.acrinasus	THU143	6	436.874	51.690313947529	60.8425723691013
LR778281.1	C.acrinasus	THU143	6	1040.84	45.1902645257285	48.8958488455784
LR778282.1	C.acrinasus	THU143	6	629.723	44.453985997426	44.0030171362339
LR778283.1	C.acrinasus	THU143	6	358.357	43.542515307971	41.9379250784173
LR778284.1	C.acrinasus	THU143	6	750.487	59.7524276133501	76.7264133291036
LR778285.1	C.acrinasus	THU143	6	222.936	44.7330681424376	42.0569995579757
LR778286.1	C.acrinasus	THU143	6	826.455	45.3931520141621	49.5001241773551
LR778287.1	C.acrinasus	THU143	6	740.327	50.7994645642857	57.9341560736556
LR778288.1	C.acrinasus	THU143	6	301.994	47.2024576204819	44.3080417197313
LR778289.1	C.acrinasus	THU143	6	345.704	48.7950450991501	49.6954503697863
LR778290.1	C.acrinasus	THU143	6	1516.82	60.9216169647696	92.7252697180446
LR778291.1	C.acrinasus	THU143	6	348.407	44.2030541182573	45.1062967763856
LR778292.1	C.acrinasus	THU143	6	210.077	49.1793542857143	46.0319981790598
LR778253.1	C.acrinasus	THU183	6	6261.35	97.3720018299668	141.202501425774
