LAN131 	 4418671 	 4306424
LAN132 	 3901221 	 3870458
LAN133 	 3642256 	 3386369
LAN134 	 5354899 	 5293015
LAN135 	 6332640 	 6269500
SUO001 	 5891756 	 5819001
SUO002 	 3252939 	 3171565
SUO003 	 4207339 	 4160306
SUO004 	 6707676 	 6614865
SUO005 	 5085731 	 4977293
SUO006 	 1457676 	 1452271
SUO009 	 5152678 	 5039809
SUO011 	 6567752 	 6564307
SUO012 	 3043444 	 3008037
SUO016 	 8970782 	 8741404
SUO019 	 8199693 	 8074924
SUO020 	 5854276 	 5758655
SUO022 	 2517201 	 2509394
SUO023 	 3802841 	 3745721
SUO027 	 4307944 	 4233894
SUO030 	 7281678 	 7285352
SUO031 	 1443812 	 1282219
SUO034 	 5327639 	 5322146
SUO043 	 6796193 	 6632195
SUO047 	 4086535 	 3911477
SUO048 	 4719727 	 4670106
SUO049 	 3949477 	 3886996
SUO056 	 5722248 	 5233813
SUO058 	 3184393 	 2979013
SUO059 	 6464922 	 6355301
SUO060 	 2947236 	 2915193
SUO061 	 2807715 	 2823702
SUO076 	 4920353 	 4926046
SUO077 	 4258314 	 4177805
SUO080 	 4422635 	 4345618
SUO081 	 2664157 	 2677600
SUO082 	 3349521 	 3348102
SUO083 	 721351 	 724270
SUO084 	 3965317 	 3937485
SUO087 	 5458935 	 5363054
SUO088 	 5065206 	 5065013
SUO090 	 6103131 	 5925318
SUO092 	 4796077 	 4723050
SUO094 	 7071516 	 7035124
SUO095 	 82997 	 84114
SUO097 	 2819170 	 2483613
SUO099 	 4482921 	 4336844
SUO100 	 5473534 	 5298591
SUO101 	 5759545 	 5648322
SUO102 	 6297065 	 6129401
SUO104 	 5335790 	 5259451
SUO105 	 4810588 	 4750062
SUO108 	 2981823 	 2866405
SUO111 	 1384828 	 1309405
SUO112 	 5205225 	 5209636
SUO114 	 5575373 	 5501228
SUO115 	 6675679 	 6629862
SUO116 	 5164935 	 5043794
SUO117 	 3372338 	 3306252
SUO118 	 4386421 	 4333727
SUO119 	 5785376 	 5694822
SUO120 	 3719104 	 3670838
SUO122 	 2845818 	 2822058
SUO124 	 5223963 	 5202675
SUO125 	 4625858 	 4558495
SUO126 	 5132658 	 5080658
SUO127 	 6083406 	 6019011
THU001 	 916038 	 918989
THU002 	 3696748 	 3688359
THU004 	 2090315 	 2052858
THU005 	 3653167 	 3613951
THU007 	 5103857 	 5076400
THU010 	 2597335 	 2568033
THU011 	 5523094 	 5400779
THU014 	 3889448 	 3798166
THU019 	 5337826 	 5253758
THU027 	 3423046 	 3427978
THU038 	 9508053 	 9269144
THU039 	 5537062 	 5487121
THU056 	 4413383 	 4401342
THU060 	 4765239 	 4670370
THU061 	 5723236 	 5593889
THU066 	 764866 	 765883
THU067 	 5465615 	 4854530
THU073 	 3546623 	 3179957
THU077 	 4218228 	 4207252
THU079 	 4388155 	 4216842
THU080 	 4487806 	 4362132
THU081 	 3916970 	 3835696
THU082 	 5358962 	 4926137
THU083 	 3745806 	 3430676
THU084 	 4680257 	 4611935
THU086 	 4321755 	 4313441
THU087 	 4838099 	 4757467
THU091 	 3433262 	 3409246
THU097 	 5004721 	 4938524
THU099 	 4330502 	 4266368
THU104 	 4868337 	 4782093
THU106 	 6179465 	 6127410
THU107 	 5114091 	 5146705
THU108 	 6212677 	 6089831
THU109 	 5459173 	 5342962
THU110 	 1508174 	 1486375
THU111 	 4364969 	 4245285
THU113 	 2661858 	 2668084
THU114 	 4896927 	 4933228
THU118 	 2575441 	 2594325
THU119 	 2390542 	 2352008
THU120 	 3584115 	 3491847
THU124 	 2035729 	 1991400
THU127 	 3981525 	 3934581
THU128 	 5374371 	 5268486
